;REDUTOWA  - 48-P;;;;U LESZKA;;;;Żabka Piękna;;;;Metro;;;;Piekarnia;;;;Białobrzeska Warzywniak;;;;Sofia;;;;Zachodni.Arek;;;;OdiDo;;;;Minutka;;;;Żelazna;;;;Szkoła u Tomiego;;;;Elektrolarna;;;;Śródmieście;;;;Żabka Aleje;;;;Żabka Zawiszy;;;;Pruszkowska;;;;Rokosowska;;;;Top.market.Piękna;;;;Hala;;;;Namysłowska;;;;OdiDo II;;;;Babice;;;;Kredytowa;;;;Fresh.Hoża;;;;Cepelek.Sofia;;;;Koszyki;;;;Żabka Marszałkowska;;;;Zachodni.hala;;;;Pałac;;;;Delikatesy.Centrum;;;;Raszyn;;;;Chmielna;;;;Namysłowska II;;;;Carrefour Grójecka;;;;Bazar Banacha;;;;Żabka Śliska;;;;
Produkt;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;
DROŻ. Z BUDYNIEM;19;"";"1,16";;10;"5";"1,01";;2;"";"1,16";;30;"";"0,65";;;"";"0,00";;2;"";"1,16";;;"";"0,00";;;;;;2;"1";"1,16";;6;"2";"1,16";;1;"";"1,16";;6;"";"1,16";;4;"";"1,16";;;"";"0,00";;3;"2";"1,16";;3;"";"1,16";;;"";"0,00";;6;"";"1,16";;6;"1";"1,16";;;"";"0,00";;3;"";"1,16";;;"";"0,00";;;;;;3;"";"1,16";;;;;;;;;;;"3";"1,16";;3;"";"1,16";;10;"";"1,16";;3;"";"1,16";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
DROŻ. Z JABŁKIEM;10;"";"1,16";;10;"4";"1,01";;;"";"0,00";;30;"";"0,65";;10;"";"0,83";;2;"";"1,16";;1;"";"1,16";;;;;;2;"";"1,16";;3;"";"1,16";;;"";"0,00";;2;"";"1,16";;2;"";"1,16";;;"";"0,00";;3;"1";"1,16";;2;"";"1,16";;;"";"0,00";;4;"1";"1,16";;5;"1";"1,16";;;"";"0,00";;2;"";"1,16";;2;"";"1,16";;;;;;2;"";"1,16";;;;;;;;;;4;"";"1,16";;6;"";"1,16";;;"";"0,00";;2;"";"1,16";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;3;"";"1,16";;
DROŻ. Z MARMOLADĄ;8;"";"1,16";;12;"4";"1,01";;1;"";"1,16";;20;"";"0,65";;5;"";"0,83";;;"";"0,00";;1;"";"1,16";;;;;;2;"";"1,16";;3;"";"1,16";;;"";"0,00";;4;"";"1,16";;3;"";"1,16";;;"";"0,00";;3;"";"1,16";;;"";"0,00";;;"";"0,00";;2;"1";"1,16";;2;"";"1,16";;;"";"0,00";;1;"";"1,16";;2;"";"1,16";;;;;;;"";"0,00";;;;;;;;;;3;"1";"1,16";;2;"";"1,16";;;"";"0,00";;3;"";"1,16";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
DROŻ. Z PORZECZKĄ;;"";"0,00";;10;"";"1,40";;;"";"0,00";;30;"";"0,65";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;3;"1";"1,40";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;4;"";"1,40";;1;"";"1,40";;;"";"0,00";;;;;;4;"";"1,40";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;2;"";"1,40";;
JAGODZIANKI;23;"6";"1,85";;15;"6";"1,85";;3;"";"1,85";;80;"";"0,65";;;"";"0,00";;;"";"0,00";;2;"";"1,85";;;;;;2;"1";"1,85";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;5;"";"1,85";;;"";"0,00";;6;"";"1,85";;8;"3";"1,85";;5;"";"1,85";;;"";"0,00";;15;"";"1,85";;;"";"0,00";;;;;;6;"";"1,85";;;;;;;;;;;"";"0,00";;7;"";"1,85";;;"";"0,00";;6;"";"1,85";;;;;;;"";"0,00";;;;;;15;"";"1,85";;15;"10";"1,48";;;;;;8;"2";"1,85";;
OPONKA;5;"";"1,16";;10;"";"1,01";;1;"";"1,16";;20;"";"0,65";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;2;"";"1,16";;;"";"0,00";;3;"";"1,16";;10;"";"1,16";;2;"";"1,16";;2;"";"1,16";;;"";"0,00";;2;"1";"1,16";;4;"";"1,16";;;"";"0,00";;1;"";"1,16";;1;"";"1,16";;;;;;;"";"0,00";;;;;;;;;;4;"";"1,16";;4;"";"1,16";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;2;"2";"0,00";;
GNIAZDKA;7;"";"1,16";;14;"4";"1,01";;3;"";"1,16";;30;"";"0,65";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;2;"";"1,16";;1;"1";"0,00";;;"";"0,00";;2;"";"1,16";;;"";"0,00";;3;"";"1,16";;;"";"0,00";;4;"";"1,16";;;"";"0,00";;2;"";"1,16";;;"";"0,00";;;"";"0,00";;2;"";"1,16";;;;;;2;"";"1,16";;;;;;;;;;5;"";"1,16";;2;"";"1,16";;;"";"0,00";;2;"";"1,16";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"2";"1,16";;
KWADRAT Z WIŚNIĄ;;"";"0,00";;8;"2";"1,01";;;"";"0,00";;20;"";"0,65";;15;"";"0,83";;;"";"0,00";;2;"";"1,16";;;;;;;"";"0,00";;2;"";"1,16";;2;"";"1,16";;1;"";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;1;"";"1,16";;;"";"0,00";;2;"2";"0,00";;3;"";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;3;"1";"1,16";;2;"";"1,16";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
KWADRAT Z CZEKOLADĄ;;"";"0,00";;4;"";"1,01";;2;"";"1,16";;30;"";"0,65";;;"";"0,00";;;"";"0,00";;2;"";"1,16";;;;;;;"";"0,00";;3;"1";"1,16";;7;"";"1,16";;;"";"0,00";;2;"";"1,16";;;"";"0,00";;2;"";"1,16";;2;"";"1,16";;2;"";"1,16";;;"";"0,00";;3;"";"1,16";;;"";"0,00";;1;"";"1,16";;;"";"0,00";;;;;;3;"";"1,16";;;;;;;;;;3;"";"1,16";;4;"";"1,16";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
DROŻ. ZE ŚLIWKĄ;;"";"0,00";;5;"";"1,01";;2;"";"1,16";;30;"";"0,74";;;"";"0,00";;;"";"0,00";;1;"";"1,16";;;;;;;"";"0,00";;;"";"0,00";;2;"2";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;2;"";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;4;"1";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;4;"";"1,16";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
