;REDUTOWA  - 48-P;;;;U LESZKA;;;;¯abka Piêkna;;;;Metro;;;;Piekarnia;;;;Bia³obrzeska Warzywniak;;;;Sofia;;;;Zachodni.Arek;;;;OdiDo;;;;Minutka;;;;¯elazna;;;;Szko³a u Tomiego;;;;Elektrolarna;;;;Œródmieœcie;;;;¯abka Aleje;;;;¯abka Zawiszy;;;;Pruszkowska;;;;Rokosowska;;;;Top.market.Piêkna;;;;Hala;;;;Namys³owska;;;;OdiDo II;;;;Babice;;;;Kredytowa;;;;Fresh.Ho¿a;;;;Cepelek.Sofia;;;;Koszyki;;;;¯abka Marsza³kowska;;;;Zachodni.hala;;;;Pa³ac;;;;Delikatesy.Centrum;;;;Raszyn;;;;Chmielna;;;;Namys³owska II;;;;Carrefour Grójecka;;;;Bazar Banacha;;;;¯abka Œliska;;;;
Produkt;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;
DRO¯. Z BUDYNIEM;19;"";"1,16";;10;"5";"1,01";;2;"";"1,16";;30;"";"0,65";;;"";"0,00";;2;"";"1,16";;;"";"0,00";;;;;;2;"1";"1,16";;6;"2";"1,16";;1;"";"1,16";;6;"";"1,16";;4;"";"1,16";;;"";"0,00";;3;"2";"1,16";;3;"";"1,16";;;"";"0,00";;6;"";"1,16";;6;"1";"1,16";;;"";"0,00";;3;"";"1,16";;;"";"0,00";;;;;;3;"";"1,16";;;;;;;;;;;"3";"1,16";;3;"";"1,16";;10;"";"1,16";;3;"";"1,16";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
DRO¯. Z JAB£KIEM;10;"";"1,16";;10;"4";"1,01";;;"";"0,00";;30;"";"0,65";;10;"";"0,83";;2;"";"1,16";;1;"";"1,16";;;;;;2;"";"1,16";;3;"";"1,16";;;"";"0,00";;2;"";"1,16";;2;"";"1,16";;;"";"0,00";;3;"1";"1,16";;2;"";"1,16";;;"";"0,00";;4;"1";"1,16";;5;"1";"1,16";;;"";"0,00";;2;"";"1,16";;2;"";"1,16";;;;;;2;"";"1,16";;;;;;;;;;4;"";"1,16";;6;"";"1,16";;;"";"0,00";;2;"";"1,16";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;3;"";"1,16";;
DRO¯. Z MARMOLAD¥;8;"";"1,16";;12;"4";"1,01";;1;"";"1,16";;20;"";"0,65";;5;"";"0,83";;;"";"0,00";;1;"";"1,16";;;;;;2;"";"1,16";;3;"";"1,16";;;"";"0,00";;4;"";"1,16";;3;"";"1,16";;;"";"0,00";;3;"";"1,16";;;"";"0,00";;;"";"0,00";;2;"1";"1,16";;2;"";"1,16";;;"";"0,00";;1;"";"1,16";;2;"";"1,16";;;;;;;"";"0,00";;;;;;;;;;3;"1";"1,16";;2;"";"1,16";;;"";"0,00";;3;"";"1,16";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
DRO¯. Z PORZECZK¥;;"";"0,00";;10;"";"1,40";;;"";"0,00";;30;"";"0,65";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;3;"1";"1,40";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;4;"";"1,40";;1;"";"1,40";;;"";"0,00";;;;;;4;"";"1,40";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;2;"";"1,40";;
JAGODZIANKI;23;"6";"1,85";;15;"6";"1,85";;3;"";"1,85";;80;"";"0,65";;;"";"0,00";;;"";"0,00";;2;"";"1,85";;;;;;2;"1";"1,85";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;5;"";"1,85";;;"";"0,00";;6;"";"1,85";;8;"3";"1,85";;5;"";"1,85";;;"";"0,00";;15;"";"1,85";;;"";"0,00";;;;;;6;"";"1,85";;;;;;;;;;;"";"0,00";;7;"";"1,85";;;"";"0,00";;6;"";"1,85";;;;;;;"";"0,00";;;;;;15;"";"1,85";;15;"10";"1,48";;;;;;8;"2";"1,85";;
OPONKA;5;"";"1,16";;10;"";"1,01";;1;"";"1,16";;20;"";"0,65";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;2;"";"1,16";;;"";"0,00";;3;"";"1,16";;10;"";"1,16";;2;"";"1,16";;2;"";"1,16";;;"";"0,00";;2;"1";"1,16";;4;"";"1,16";;;"";"0,00";;1;"";"1,16";;1;"";"1,16";;;;;;;"";"0,00";;;;;;;;;;4;"";"1,16";;4;"";"1,16";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;2;"2";"0,00";;
GNIAZDKA;7;"";"1,16";;14;"4";"1,01";;3;"";"1,16";;30;"";"0,65";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;2;"";"1,16";;1;"1";"0,00";;;"";"0,00";;2;"";"1,16";;;"";"0,00";;3;"";"1,16";;;"";"0,00";;4;"";"1,16";;;"";"0,00";;2;"";"1,16";;;"";"0,00";;;"";"0,00";;2;"";"1,16";;;;;;2;"";"1,16";;;;;;;;;;5;"";"1,16";;2;"";"1,16";;;"";"0,00";;2;"";"1,16";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"2";"1,16";;
KWADRAT Z WIŒNI¥;;"";"0,00";;8;"2";"1,01";;;"";"0,00";;20;"";"0,65";;15;"";"0,83";;;"";"0,00";;2;"";"1,16";;;;;;;"";"0,00";;2;"";"1,16";;2;"";"1,16";;1;"";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;1;"";"1,16";;;"";"0,00";;2;"2";"0,00";;3;"";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;3;"1";"1,16";;2;"";"1,16";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
KWADRAT Z CZEKOLAD¥;;"";"0,00";;4;"";"1,01";;2;"";"1,16";;30;"";"0,65";;;"";"0,00";;;"";"0,00";;2;"";"1,16";;;;;;;"";"0,00";;3;"1";"1,16";;7;"";"1,16";;;"";"0,00";;2;"";"1,16";;;"";"0,00";;2;"";"1,16";;2;"";"1,16";;2;"";"1,16";;;"";"0,00";;3;"";"1,16";;;"";"0,00";;1;"";"1,16";;;"";"0,00";;;;;;3;"";"1,16";;;;;;;;;;3;"";"1,16";;4;"";"1,16";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
DRO¯. ZE ŒLIWK¥;;"";"0,00";;5;"";"1,01";;2;"";"1,16";;30;"";"0,74";;;"";"0,00";;;"";"0,00";;1;"";"1,16";;;;;;;"";"0,00";;;"";"0,00";;2;"2";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;2;"";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;4;"1";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;4;"";"1,16";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
ŒLIMAK Z KOKOSEM;;"";"0,00";;6;"2";"1,01";;2;"";"1,16";;30;"";"0,65";;;"";"0,00";;;"";"0,00";;1;"";"1,16";;;;;;;"";"0,00";;3;"1";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;2;"1";"1,16";;1;"";"1,16";;;"";"0,00";;;"";"0,00";;3;"1";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;2;"";"1,16";;;;;;;;;;3;"1";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
Pizza;;"";"0,00";;12;"";"1,85";;;"";"0,00";;30;"";"1,11";;;"";"0,00";;2;"";"1,85";;3;"";"1,85";;;;;;2;"";"1,85";;;"";"0,00";;2;"1";"1,85";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;3;"";"1,85";;3;"";"1,85";;;"";"0,00";;2;"";"1,85";;3;"";"1,85";;;"";"0,00";;;;;;5;"";"1,85";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;3;"";"1,85";;
MUFINKI.jasne;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
MUFINKI.ciemne;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
MUFINKA.porzeczka;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
BABKA.CYTRYNOWA;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
BABKA.MARMUREK;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
BABKA.CZEK.Z.WIŒNI¥;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
BABKA.MANDARYNKOWA;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
Karbowane;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
Kokosanka;;"";"0,00";;4;"";"3,74";;2;"";"3,93";;;"";"0,00";;;"";"0,00";;2;"";"3,93";;;"";"0,00";;;;;;;"";"0,00";;3;"";"3,93";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;4;"";"3,93";;2;"";"3,93";;;"";"0,00";;2;"";"3,93";;;"";"0,00";;;;;;4;"";"3,93";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
P¹czki liliputy (luz);;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
P¹czki liliputy (paczka);;"";"0,00";;;"";"0,00";;;"";"0,00";;7;"";"2,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
